unit,geo\time	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
MIO_EUR,AT	1304.6 	1217.8 	1246.6 	1228.3 	692.6 b	690.3 	763 	1202 b	1384.2 	1457.3 	: 	: 
MIO_EUR,BE	: 	: 	: 	: 	2110.4 	2079.7 	2082.6 	2451.9 	2828.9 	2748.5 	: 	: 
MIO_EUR,BG	278.9 	261.7 	211.5 	380.2 	833 be	941.8 e	282.1 e	235.2 e	255.1 e	232.5 e	: 	: 
MIO_EUR,CH	1647.2 e	1830.6 e	1836.6 e	1890.9 	1887.6 e	2123.5 e	2102 	2043.2 e	1933.7 	2111.6 ep	2209.3 p	: 
MIO_EUR,CY	169 	130.9 	117.1 	114.5 	43.9 	76.2 	58.1 	61.7 	33.4 	101.8 	: 	: 
MIO_EUR,CZ	: 	: 	1516.3 	1405.2 	1569.6 	1911.4 	1134.1 	1369.2 	1611.3 	1621.9 	: 	: 
MIO_EUR,DE	10279.5 e	11415.3 e	11700.8 e	11331.4 e	12079.8 e	11314 e	11730 e	12142 e	13449.6 e	13977.8 e	: 	: 
MIO_EUR,DK	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 
MIO_EUR,EE	: c	: 	: 	: 	231.6 	234.3 	104.1 	129.8 	182.7 	111.2 	: 	: 
MIO_EUR,EL	: 	: 	: 	: 	767.4 	685.3 	383.6 	276.2 	381.3 	363.1 p	: 	: 
MIO_EUR,ES	4677.3 	3157.3 	2780.9 	2309.6 	2235.3 	2369.6 	2219.1 	2427.4 	2633.5 	2831.2 	2603.3 	: 
MIO_EUR,EU27_2020	53915.3 s	53144.4 s	53823.3 s	52389.7 s	53252 s	56456.5 s	47334 s	49741.4 s	55289.8 s	58680.8 s	59654 s	59208.1 s
MIO_EUR,FI	: 	: 	: 	: 	601.2 	654.5 	721.7 	634 	673.5 	526.6 	: 	: 
MIO_EUR,FR	9970.6 	10017.6 	10098.1 	10281.5 	9773.2 	9470.4 	9157.5 	9817.9 	10318.7 	11479.5 p	: 	: 
MIO_EUR,HR	: 	: 	: 	: 	228.5 	225.2 	243.8 	246 	247.8 	247.5 	: 	: 
MIO_EUR,HU	: 	: 	: 	: 	1347.6 	1690 	428.6 	481 	638 	988.3 	: 	: 
MIO_EUR,IE	552.6 	370.6 	382.5 	380.2 	555.4 	500.2 	439.2 	444.9 	544.1 	667.3 	: 	: 
MIO_EUR,IS	: 	: 	: 	: 	24.5 	30.4 	40.8 	43.5 	51.1 	75.1 	51.4 	: 
MIO_EUR,IT	6821.9 	6253.7 	6609 	5344.8 	4783.2 	5446.1 	5477.3 b	5401.4 b	5441.5 	5626.1 	: 	: 
MIO_EUR,LT	425 	376.2 	373.2 	252.3 	303.5 	219 	186.3 	122.6 	140.9 	194.6 	: 	: 
MIO_EUR,LU	93 	105.1 	103.4 	133.7 	141.8 	136.6 	161.8 	196.5 	220.9 	219.7 	: 	: 
MIO_EUR,LV	75.8 	88 	148 	172.4 	139 	151.9 	71.9 	77.5 	93.6 	124 	: 	: 
MIO_EUR,MT	: 	: 	: 	11.9 	23.9 	74.8 	14.1 	16.7 	20.7 	25.9 	: 	: 
MIO_EUR,NL	: 	: 	: 	3678.5 	4088.7 	4567.4 	3055.7 	2753.6 	3257.6 	3327.9 	: 	: 
MIO_EUR,NO	: 	: 	: 	1261.5 	1169 b	1423.2 b	1128.6 b	1142.7 	1216.3 	1347.9 	1456.9 	: 
MIO_EUR,PL	2718.4 	2930.5 	2707.8 	2585.2 	3405.2 b	3623.3 	1493.7 	1604 	2438.5 	2846.8 	: 	: 
MIO_EUR,PT	: 	: 	: 	: 	610 	684.4 	511.3 	571.7 	656.3 	704.4 	: 	: 
MIO_EUR,RO	1087.4 	1211.9 	965.9 	1051.8 	1131.6 	1656.5 	609.2 	456.8 	700.3 	733.5 	670.8 	: 
MIO_EUR,SE	1179.2 	1429.3 	1592.5 	1561.1 	1572.3 	1781.7 	1939.6 	2030 	2308.1 	2335.5 	: 	: 
MIO_EUR,SI	278.9 	331.9 	404.5 	367.2 	496 	509.6 	273 	222.1 	300.6 	313.1 	: 	: 
MIO_EUR,SK	288.7 	303.8 	341.1 	263.4 	337.2 	651.2 	295.5 	338.8 	332.9 	322.4 p	: 	: 
MIO_EUR,TR	: 	: 	: 	1145.8 	1220.3 	1252.9 	1248 	1396.6 	1252 	1004 	963 	: 
MIO_EUR,UK	5891.5 	4601 	6671.9 	7117.1 	7332.8 e	9783.8 b	8196.8 b	7978.9 	: 	: 	: 	: 
PC_GDP,AT	0.4 	0.4 	0.4 	0.4 	0.2 b	0.2 	0.2 	0.3 b	0.4 	0.4 	: 	: 
PC_GDP,BE	: 	: 	: 	: 	0.5 	0.5 	0.5 	0.6 	0.6 	0.6 	: 	: 
PC_GDP,BG	0.7 	0.6 	0.5 	0.9 	1.9 be	2.1 e	0.6 e	0.4 e	0.5 e	0.4 e	: 	: 
PC_GDP,CH	0.4 e	0.4 e	0.3 e	0.4 	0.3 e	0.3 e	0.3 	0.3 e	0.3 	0.3 ep	0.3 p	: 
PC_GDP,CY	0.9 	0.7 	0.6 	0.6 	0.3 	0.4 	0.3 	0.3 	0.2 	0.4 	: 	: 
PC_GDP,CZ	: 	: 	0.9 	0.9 	1 	1.1 	0.6 	0.7 	0.8 	0.7 	: 	: 
PC_GDP,DE	0.4 e	0.4 e	0.4 e	0.4 e	0.4 e	0.4 e	0.4 e	0.4 e	0.4 e	0.4 e	: 	: 
PC_GDP,DK	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 
PC_GDP,EE	: c	: 	: 	: 	1.2 	1.1 	0.5 	0.5 	0.7 	0.4 	: 	: 
PC_GDP,EL	: 	: 	: 	: 	0.4 	0.4 	0.2 	0.2 	0.2 	0.2 p	: 	: 
PC_GDP,ES	0.4 	0.3 	0.3 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	: 
PC_GDP,EU27_2020	0.5 s	0.5 s	0.5 s	0.5 s	0.5 s	0.5 s	0.4 s	0.4 s	0.4 s	0.4 s	0.4 s	0.4 s
PC_GDP,FI	: 	: 	: 	: 	0.3 	0.3 	0.3 	0.3 	0.3 	0.2 	: 	: 
PC_GDP,FR	0.5 	0.5 	0.5 	0.5 	0.5 	0.4 	0.4 	0.4 	0.4 	0.5 p	: 	: 
PC_GDP,HR	: 	: 	: 	: 	0.5 	0.5 	0.5 	0.5 	0.5 	0.4 	: 	: 
PC_GDP,HU	: 	: 	: 	: 	1.3 	1.5 	0.4 	0.4 	0.5 	0.7 	: 	: 
PC_GDP,IE	0.3 	0.2 	0.2 	0.2 	0.3 	0.2 	0.2 	0.1 	0.2 	0.2 	: 	: 
PC_GDP,IS	: 	: 	: 	: 	0.2 	0.2 	0.2 	0.2 	0.2 	0.3 	0.3 	: 
PC_GDP,IT	0.4 	0.4 	0.4 	0.3 	0.3 	0.3 	0.3 b	0.3 b	0.3 	0.3 	: 	: 
PC_GDP,LT	1.5 	1.2 	1.1 	0.7 	0.8 	0.6 	0.5 	0.3 	0.3 	0.4 	: 	: 
PC_GDP,LU	0.2 	0.2 	0.2 	0.3 	0.3 	0.3 	0.3 	0.3 	0.4 	0.4 	: 	: 
PC_GDP,LV	0.4 	0.4 	0.7 	0.8 	0.6 	0.6 	0.3 	0.3 	0.3 	0.4 	: 	: 
PC_GDP,MT	: 	: 	: 	0.2 	0.3 	0.7 	0.1 	0.1 	0.2 	0.2 	: 	: 
PC_GDP,NL	: 	: 	: 	0.6 	0.6 	0.7 	0.4 	0.4 	0.4 	0.4 	: 	: 
PC_GDP,NO	: 	: 	: 	0.3 	0.3 b	0.4 b	0.3 b	0.3 	0.3 	0.4 	0.5 	: 
PC_GDP,PL	0.8 	0.8 	0.7 	0.7 	0.8 b	0.8 	0.3 	0.3 	0.5 	0.5 	: 	: 
PC_GDP,PT	: 	: 	: 	: 	0.4 	0.4 	0.3 	0.3 	0.3 	0.3 	: 	: 
PC_GDP,RO	0.9 	0.9 	0.7 	0.7 	0.8 	1 	0.4 	0.2 	0.3 	0.3 	0.3 	: 
PC_GDP,SE	0.3 	0.3 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.5 	0.5 	: 	: 
PC_GDP,SI	0.8 	0.9 	1.1 	1 	1.3 	1.3 	0.7 	0.5 	0.7 	0.6 	: 	: 
PC_GDP,SK	0.4 	0.4 	0.5 	0.4 	0.4 	0.8 	0.4 	0.4 	0.4 	0.3 p	: 	: 
PC_GDP,TR	: 	: 	: 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.1 	0.2 	: 
PC_GDP,UK	0.3 	0.2 	0.3 	0.3 	0.3 e	0.4 b	0.3 b	0.3 	: 	: 	: 	: 
